     -3.00	     20.09	    -19.59	     19.11	    -20.09	     20.09
     -2.95	     19.11	    -18.64	     18.18	    -19.11	     19.11
     -2.90	     18.17	    -17.73	     17.29	    -18.17	     18.17
     -2.85	     17.29	    -16.86	     16.45	    -17.29	     17.29
     -2.80	     16.44	    -16.04	     15.65	    -16.44	     16.44
     -2.75	     15.64	    -15.26	     14.88	    -15.64	     15.64
     -2.70	     14.88	    -14.51	     14.16	    -14.88	     14.88
     -2.65	     14.15	    -13.81	     13.47	    -14.15	     14.15
     -2.60	     13.46	    -13.13	     12.81	    -13.46	     13.46
     -2.55	     12.81	    -12.49	     12.19	    -12.81	     12.81
     -2.50	     12.18	    -11.88	     11.59	    -12.18	     12.18
     -2.45	     11.59	    -11.30	     11.03	    -11.59	     11.59
     -2.40	     11.02	    -10.75	     10.49	    -11.02	     11.02
     -2.35	     10.49	    -10.23	      9.98	    -10.49	     10.49
     -2.30	      9.97	     -9.73	      9.49	     -9.97	      9.97
     -2.25	      9.49	     -9.25	      9.03	     -9.49	      9.49
     -2.20	      9.03	     -8.80	      8.59	     -9.03	      9.03
     -2.15	      8.58	     -8.37	      8.17	     -8.58	      8.58
     -2.10	      8.17	     -7.97	      7.77	     -8.17	      8.17
     -2.05	      7.77	     -7.58	      7.39	     -7.77	      7.77
     -2.00	      7.39	     -7.21	      7.03	     -7.39	      7.39
     -1.95	      7.03	     -6.86	      6.69	     -7.03	      7.03
     -1.90	      6.69	     -6.52	      6.36	     -6.69	      6.69
     -1.85	      6.36	     -6.20	      6.05	     -6.36	      6.36
     -1.80	      6.05	     -5.90	      5.76	     -6.05	      6.05
     -1.75	      5.75	     -5.61	      5.48	     -5.75	      5.75
     -1.70	      5.47	     -5.34	      5.21	     -5.47	      5.47
     -1.65	      5.21	     -5.08	      4.95	     -5.21	      5.21
     -1.60	      4.95	     -4.83	      4.71	     -4.95	      4.95
     -1.55	      4.71	     -4.60	      4.48	     -4.71	      4.71
     -1.50	      4.48	     -4.37	      4.26	     -4.48	      4.48
     -1.45	      4.26	     -4.16	      4.06	     -4.26	      4.26
     -1.40	      4.06	     -3.96	      3.86	     -4.06	      4.06
     -1.35	      3.86	     -3.76	      3.67	     -3.86	      3.86
     -1.30	      3.67	     -3.58	      3.49	     -3.67	      3.67
     -1.25	      3.49	     -3.40	      3.32	     -3.49	      3.49
     -1.20	      3.32	     -3.24	      3.16	     -3.32	      3.32
     -1.15	      3.16	     -3.08	      3.00	     -3.16	      3.16
     -1.10	      3.00	     -2.93	      2.86	     -3.00	      3.00
     -1.05	      2.86	     -2.79	      2.72	     -2.86	      2.86
     -1.00	      2.72	     -2.65	      2.59	     -2.72	      2.72
     -0.95	      2.59	     -2.52	      2.46	     -2.59	      2.59
     -0.90	      2.46	     -2.40	      2.34	     -2.46	      2.46
     -0.85	      2.34	     -2.28	      2.23	     -2.34	      2.34
     -0.80	      2.23	     -2.17	      2.12	     -2.23	      2.23
     -0.75	      2.12	     -2.06	      2.01	     -2.12	      2.12
     -0.70	      2.01	     -1.96	      1.92	     -2.01	      2.01
     -0.65	      1.92	     -1.87	      1.82	     -1.92	      1.92
     -0.60	      1.82	     -1.78	      1.73	     -1.82	      1.82
     -0.55	      1.73	     -1.69	      1.65	     -1.73	      1.73
     -0.50	      1.65	     -1.61	      1.57	     -1.65	      1.65
     -0.45	      1.57	     -1.53	      1.49	     -1.57	      1.57
     -0.40	      1.49	     -1.46	      1.42	     -1.49	      1.49
     -0.35	      1.42	     -1.38	      1.35	     -1.42	      1.42
     -0.30	      1.35	     -1.32	      1.28	     -1.35	      1.35
     -0.25	      1.28	     -1.25	      1.22	     -1.28	      1.28
     -0.20	      1.22	     -1.19	      1.16	     -1.22	      1.22
     -0.15	      1.16	     -1.13	      1.11	     -1.16	      1.16
     -0.10	      1.11	     -1.08	      1.05	     -1.11	      1.11
     -0.05	      1.05	     -1.03	      1.00	     -1.05	      1.05
     -0.00	      1.00	     -0.98	      0.95	     -1.00	      1.00
      0.05	      0.95	     -0.93	      0.91	     -0.95	      0.95
      0.10	      0.90	     -0.88	      0.86	     -0.90	      0.90
      0.15	      0.86	     -0.84	      0.82	     -0.86	      0.86
      0.20	      0.82	     -0.80	      0.78	     -0.82	      0.82
      0.25	      0.78	     -0.76	      0.74	     -0.78	      0.78
      0.30	      0.74	     -0.72	      0.70	     -0.74	      0.74
      0.35	      0.70	     -0.69	      0.67	     -0.70	      0.70
      0.40	      0.67	     -0.65	      0.64	     -0.67	      0.67
      0.45	      0.64	     -0.62	      0.61	     -0.64	      0.64
      0.50	      0.61	     -0.59	      0.58	     -0.61	      0.61
      0.55	      0.58	     -0.56	      0.55	     -0.58	      0.58
      0.60	      0.55	     -0.54	      0.52	     -0.55	      0.55
      0.65	      0.52	     -0.51	      0.50	     -0.52	      0.52
      0.70	      0.50	     -0.48	      0.47	     -0.50	      0.50
      0.75	      0.47	     -0.46	      0.45	     -0.47	      0.47
      0.80	      0.45	     -0.44	      0.43	     -0.45	      0.45
      0.85	      0.43	     -0.42	      0.41	     -0.43	      0.43
      0.90	      0.41	     -0.40	      0.39	     -0.41	      0.41
      0.95	      0.39	     -0.38	      0.37	     -0.39	      0.39
      1.00	      0.37	     -0.36	      0.35	     -0.37	      0.37
      1.05	      0.35	     -0.34	      0.33	     -0.35	      0.35
      1.10	      0.33	     -0.32	      0.32	     -0.33	      0.33
      1.15	      0.32	     -0.31	      0.30	     -0.32	      0.32
      1.20	      0.30	     -0.29	      0.29	     -0.30	      0.30
      1.25	      0.29	     -0.28	      0.27	     -0.29	      0.29
      1.30	      0.27	     -0.27	      0.26	     -0.27	      0.27
      1.35	      0.26	     -0.25	      0.25	     -0.26	      0.26
      1.40	      0.25	     -0.24	      0.23	     -0.25	      0.25
      1.45	      0.23	     -0.23	      0.22	     -0.23	      0.23
      1.50	      0.22	     -0.22	      0.21	     -0.22	      0.22
      1.55	      0.21	     -0.21	      0.20	     -0.21	      0.21
      1.60	      0.20	     -0.20	      0.19	     -0.20	      0.20
      1.65	      0.19	     -0.19	      0.18	     -0.19	      0.19
      1.70	      0.18	     -0.18	      0.17	     -0.18	      0.18
      1.75	      0.17	     -0.17	      0.17	     -0.17	      0.17
      1.80	      0.17	     -0.16	      0.16	     -0.17	      0.17
      1.85	      0.16	     -0.15	      0.15	     -0.16	      0.16
      1.90	      0.15	     -0.15	      0.14	     -0.15	      0.15
      1.95	      0.14	     -0.14	      0.14	     -0.14	      0.14
      2.00	      0.14	     -0.13	      0.13	     -0.14	      0.14
      2.05	      0.13	     -0.13	      0.12	     -0.13	      0.13
      2.10	      0.12	     -0.12	      0.12	     -0.12	      0.12
      2.15	      0.12	     -0.11	      0.11	     -0.12	      0.12
      2.20	      0.11	     -0.11	      0.11	     -0.11	      0.11
      2.25	      0.11	     -0.10	      0.10	     -0.11	      0.11
      2.30	      0.10	     -0.10	      0.10	     -0.10	      0.10
      2.35	      0.10	     -0.09	      0.09	     -0.10	      0.10
      2.40	      0.09	     -0.09	      0.09	     -0.09	      0.09
      2.45	      0.09	     -0.08	      0.08	     -0.09	      0.09
      2.50	      0.08	     -0.08	      0.08	     -0.08	      0.08
      2.55	      0.08	     -0.08	      0.07	     -0.08	      0.08
      2.60	      0.07	     -0.07	      0.07	     -0.07	      0.07
      2.65	      0.07	     -0.07	      0.07	     -0.07	      0.07
      2.70	      0.07	     -0.07	      0.06	     -0.07	      0.07
      2.75	      0.06	     -0.06	      0.06	     -0.06	      0.06
      2.80	      0.06	     -0.06	      0.06	     -0.06	      0.06
      2.85	      0.06	     -0.06	      0.06	     -0.06	      0.06
      2.90	      0.06	     -0.05	      0.05	     -0.06	      0.06
      2.95	      0.05	     -0.05	      0.05	     -0.05	      0.05
      3.00	      0.05	     -0.05	      0.05	     -0.05	      0.05
